Sr. No,Distributor,Type,Order ID,Invoice ID,User ID,User Name,User Phone No,User ID Number,Wallet Balance,Final Minting Charge,Safegold Minting Charge,Partner Minting Charge,Delivery Charge,Promo Name,Promo Code,Promo Type,Discount Amount,Sub Total Amount,Grand Total Amount,Gold Rate,Amount Before Vat,Vat Fee,Product Title,Product Category,Product Brand,Product ID,Product Owned By,Product Serial Number,Product Card Name,Weight,WeightG,Mobile Number,Postal Code,Address,Sub District,District,Province,Full Address,Quantity,Tracking Link,Order Date,Partner Recon Date,Transaction Status,Delivery Status,Realization Status,Receipt Number,Receipt URL,TypeGold,G/B,Unit,Price:Unit,AMT
1,MoveVAI Retail,buy,MV-20260507-001,INV-20260507-001,U-1001,คุณกิตติพงศ์ ศรีสวัสดิ์,089-123-4567,1103700123456,125000.00,150.00,120.00,30.00,80.00,,,none,0.00,46250.00,46330.00,46250.00,43205.61,3024.39,ทองคำแท่ง 96.5% 1 บาท,Gold Bar,AUSIRIS,PRD-G965-1B,AUSIRIS,SN-G965-0001,Gold Saver Card,1 บาท,15.16,089-123-4567,50230,88/14 หมู่ 3,สันผักหวาน,หางดง,เชียงใหม่,88/14 หมู่ 3 ต.สันผักหวาน อ.หางดง จ.เชียงใหม่ 50230,1,https://track.example.com/MV-20260507-001,2026-05-01,2026-05-02,paid,processing,pending,RC-20260507-001,https://receipt.example.com/RC-20260507-001,gold,G,บาท,46250.00,46250.00
2,MoveVAI Retail,buy,MV-20260507-002,INV-20260507-002,U-1002,คุณอรทัย วงศ์ดี,081-234-5678,1103700223456,98000.00,200.00,150.00,50.00,80.00,,,none,0.00,66800.00,66880.00,33400.00,62429.91,4370.09,ทองคำแท่ง 99.99% 10 กรัม,Gold Bar,AUSIRIS,PRD-G9999-10G,AUSIRIS,SN-G9999-0002,Premium Gold Card,10 กรัม,10.00,081-234-5678,90110,45/2 ถนนศรีภูวนารถ,หาดใหญ่,หาดใหญ่,สงขลา,45/2 ถนนศรีภูวนารถ ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110,2,https://track.example.com/MV-20260507-002,2026-05-01,2026-05-02,paid,processing,pending,RC-20260507-002,https://receipt.example.com/RC-20260507-002,gold,G,กรัม,33400.00,66800.00
3,MoveVAI Retail,buy,MV-20260507-003,INV-20260507-003,U-1003,บจก. โกลด์เทรดดิ้ง,02-118-4499,0105548123456,410000.00,500.00,420.00,80.00,0.00,CORP50,CORP50,amount,50.00,231500.00,231450.00,46300.00,216308.41,15141.59,ทองคำแท่ง 96.5% 5 บาท,Gold Bar,AUSIRIS,PRD-G965-5B,AUSIRIS,SN-G965-0003,Wholesale Card,5 บาท,75.80,02-118-4499,10100,423 ถนนเยาวราช,จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,423 ถนนเยาวราช แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,1,https://track.example.com/MV-20260507-003,2026-05-01,2026-05-02,paid,ready,pending,RC-20260507-003,https://receipt.example.com/RC-20260507-003,gold,G,บาท,231500.00,231500.00
4,MoveVAI Retail,buy,MV-20260507-004,INV-20260507-004,U-1004,คุณพิชญา ธรรมรักษ์,081-334-5566,1103700423456,76500.00,180.00,140.00,40.00,100.00,,,none,0.00,48100.00,48200.00,48100.00,44953.27,3146.73,ทองคำแท่ง 99.99% 1 บาท,Gold Bar,AUSIRIS,PRD-G9999-1B,AUSIRIS,SN-G9999-0004,Private Gold Card,1 บาท,15.16,094-778-1234,10110,99/123 คอนโด The Reserve ถนนสุขุมวิท 61,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,ผู้รับ: คุณธนกฤต วัฒนชัย 99/123 คอนโด The Reserve ถนนสุขุมวิท 61 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 โทร 0947781234,1,https://track.example.com/MV-20260507-004,2026-05-02,2026-05-03,paid,processing,pending,RC-20260507-004,https://receipt.example.com/RC-20260507-004,gold,G,บาท,48100.00,48100.00
5,MoveVAI Retail,buy,MV-20260507-005,INV-20260507-005,U-1005,คุณศิริลักษณ์ พิพัฒน์กุล,084-223-9911,1103700523456,55200.00,120.00,100.00,20.00,60.00,NEW50,NEW50,amount,50.00,19800.00,19810.00,9900.00,18514.02,1295.98,แหวนทอง 96.5% 2 สลึง,Jewelry,AUSIRIS,PRD-JEW-RING-2S,AUSIRIS,SN-JEW-0005,Jewelry Card,2 สลึง,7.58,084-223-9911,10310,12 ซอยประชาอุทิศ 7,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,12 ซอยประชาอุทิศ 7 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,1,https://track.example.com/MV-20260507-005,2026-05-02,2026-05-03,paid,delivered,realized,RC-20260507-005,https://receipt.example.com/RC-20260507-005,gold,G,สลึง,19800.00,19800.00
6,MoveVAI Retail,buy,MV-20260507-006,INV-20260507-006,U-1006,ห้างหุ้นส่วนทองดี,02-654-3210,0305546123456,250000.00,300.00,240.00,60.00,0.00,,,none,0.00,93600.00,93600.00,31200.00,87476.64,6123.36,เงินแท่ง 99.99% 1 กิโลกรัม,Silver Bar,AUSIRIS,PRD-SIL-1KG,AUSIRIS,SN-SIL-0006,Silver Vault Card,1 กิโลกรัม,1000.00,02-654-3210,30000,77/5 ถนนมิตรภาพ,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,77/5 ถนนมิตรภาพ ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,3,https://track.example.com/MV-20260507-006,2026-05-02,2026-05-03,paid,ready,pending,RC-20260507-006,https://receipt.example.com/RC-20260507-006,silver,B,กิโลกรัม,31200.00,93600.00
7,MoveVAI Retail,buy,MV-20260507-007,INV-20260507-007,U-1007,คุณปวีณา จิตต์อนันต์,088-998-7766,1103700723456,132000.00,150.00,120.00,30.00,100.00,,,none,0.00,92500.00,92600.00,46250.00,86448.60,6051.40,ทองคำแท่ง 96.5% 1 บาท,Gold Bar,AUSIRIS,PRD-G965-1B,AUSIRIS,SN-G965-0007,Gold Saver Card,1 บาท,15.16,086-445-6677,10540,99/9 หมู่ 8,บางแก้ว,บางพลี,สมุทรปราการ,ส่งถึง คุณณัฐวุฒิ เจริญผล บริษัท เอ็นซี โลจิสติกส์ 99/9 หมู่ 8 ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540 ติดต่อ 0864456677,2,https://track.example.com/MV-20260507-007,2026-05-02,2026-05-03,paid,processing,pending,RC-20260507-007,https://receipt.example.com/RC-20260507-007,gold,G,บาท,46250.00,92500.00
8,MoveVAI Retail,buy,MV-20260507-008,INV-20260507-008,U-1008,คุณภัทรวดี เจริญรุ่งเรือง,089-556-7712,1103700823456,210000.00,220.00,180.00,40.00,80.00,VIP100,VIP100,amount,100.00,167000.00,166980.00,33400.00,156074.77,10925.23,ทองคำแท่ง 99.99% 10 กรัม,Gold Bar,AUSIRIS,PRD-G9999-10G,AUSIRIS,SN-G9999-0008,Premium Gold Card,10 กรัม,10.00,089-556-7712,10330,155 อาคารสินธร ชั้น 12 ถนนวิทยุ,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,155 อาคารสินธร ชั้น 12 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,5,https://track.example.com/MV-20260507-008,2026-05-03,2026-05-03,paid,ready,pending,RC-20260507-008,https://receipt.example.com/RC-20260507-008,gold,G,กรัม,33400.00,167000.00
9,MoveVAI Retail,buy,MV-20260507-009,INV-20260507-009,U-1009,ร้านทองรุ่งเรือง สาขาบางนา,02-333-4444,0105547223456,360000.00,400.00,330.00,70.00,0.00,BIZ200,BIZ200,amount,200.00,185000.00,184800.00,46250.00,172710.28,12089.72,ทองคำแท่ง 96.5% 1 บาท,Gold Bar,AUSIRIS,PRD-G965-1B,AUSIRIS,SN-G965-0009,Wholesale Card,1 บาท,15.16,02-333-4444,10260,456 ซอยบางนา-ตราด 25,บางนาเหนือ,บางนา,กรุงเทพมหานคร,456 ซอยบางนา-ตราด 25 แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,4,https://track.example.com/MV-20260507-009,2026-05-03,2026-05-04,paid,ready,pending,RC-20260507-009,https://receipt.example.com/RC-20260507-009,gold,G,บาท,46250.00,185000.00
10,MoveVAI Retail,buy,MV-20260507-010,INV-20260507-010,U-1010,คุณธนพร กิจเจริญผล,082-556-7788,1103701023456,68400.00,160.00,120.00,40.00,80.00,,,none,0.00,46800.00,46880.00,46800.00,43738.32,3061.68,สร้อยคอทอง 96.5% 1 บาท,Jewelry,AUSIRIS,PRD-JEW-NECK-1B,AUSIRIS,SN-JEW-0010,Jewelry Card,1 บาท,15.16,082-556-7788,50200,88/9 หมู่ 4,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,88/9 หมู่ 4 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200,1,https://track.example.com/MV-20260507-010,2026-05-03,2026-05-04,paid,delivered,realized,RC-20260507-010,https://receipt.example.com/RC-20260507-010,gold,G,บาท,46800.00,46800.00
